city,study_year,reporting_year,scope_1_emissions,scope_1_units,emissions_year,gases_included,change_from_last_year,scope_2_emissions,total_scope_2_emissions,s1_lower_bound,s1_upper_bound,s1_mean,tot_lower_bound,tot_upper_bound,tot_mean,scope_fractions,CO2_emissions_per_capita,lat_long,latitude,longitude,country,region,population,population_year,population_1950,population_1990,population_2010,growth_rate_1950_2010,growth_rate_1990_2010,city_area,population_density,average_altitude_m,average_annual_temperature_celcius,gdp,gdp_unit,income_per_capita,gdp-ppp,ngdp,ngdp_capita_usd,total_consumption_capita,CO2_energy_capita,diesel_price_usd,gas_price_usd,percent_urban,Water bounded (GEA+),Other bounded (GEA+),mean_travel_time_minutes,deisel_price_2014_usd,gas_price_2014_usd,household_size,congestion_rank,peak_hours_spent_in_congestion,average_congestion_rate,congestion_rank,congestion_level,congestion_change,morning_peak,evening_peak,economy_rank,environment_rank,governance_rank_iese,human_capital_rank_iese,international_impact_rank,mobility_and_transport_rank_iese,public_management_rank_iese,social_cohesion_rank_iese,technology_rank_iese,urban_planning_rank_iese,exports, ,natgas_export_production_ratio,ch4_waste_capita,ch4_waste_plus_natgas_capita
Quezon,,,0,tCO2-eq,2010,,,,,,,,,,,,,,14.67604,121.0437,Philippines,Southeast Asia,2936116,2015,,,,,,165.33,,,,,,,,21.29501513,,,,,,,,,,0.82,1.05,,,,,,,,,,,,,,,,,,,,,,,,
León de los Aldamas,,,94311876.22,tCO2-eq,2012,,,,,,,,,,,,,,21.13,-101.69,Mexico,Latin America & Caribbean,1436733,2010,,,,,,1219.67,,,,,,,,,,,,,,,,,,1.02,1.03,,564,14,7.10%,,,,,,,,,,,,,,,,,,,,
Beijing,2006,,75104879.01,tCO2,2010,,,,,,,,,,,,4.566518637,,39.91666667,116.3833333,China,East Asia,18766000,,1671000,6788000,15000000,1.037254307,1.040441032,1368,8502.794107,,,,,66458.74,0,206.2,10952.35566,114.4866374,9.3,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,10,0.46,0.08,72%,84%,66,180,68,19,8,13,101,142,8,125,,,,,
Incheon,,2016,57719912,tCO2-eq,2015,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Increased,12074228,69794140,56407018.01,56806629.84,56606823.92,68481246.01,68880857.84,68681051.92,1,,"(37.456256, 126.705206)",37.483,126.633333,South Korea,East Asia,3002645,2017,,,,,,1029.43,,26,12.7,6.84E+13,KRW     South Korean Won,,845.906,49,18400.30041,,,,,,,,42.7,1.37,1.55,2.65,,,,,,,,,,,,,,,,,,,0,1,0,0.010932594,0.015716213
Izmir,,,50287659,tCO2-eq,2015,,,,,,,,,,,,,,38.41842,27.14283,Turkey,"North Africa, Middle East, West Asia",4273677,2017,,,,,,7340,,,,,,,80.061,45,15833919.77,,,,,,,,,1.9,2.06,,223,26,9.60%,74,0.3,0.01,39%,52%,,,,,,,,,,,,,,,
Osaka,,,50040000,tCO2-eq,2009,,,,,,,,,,,,,,34.69,135.52,Japan,East Asia,8864228,2012,,,,,,1899.28,,,,,,,,,,,,1.3,1.42,85.978,1,,,1.1,1.38,,,,,,,,,,33,76,104,27,72,129,55,67,42,104,,,,,
Shanghai,2006,,47538733.23,tCO2,2010,,,,,,,,,,,,2.351336718,,31.22861111,121.4747222,China,East Asia,23019196,2010,4301000,7823000,19554000,1.025560069,1.046870867,6341,3700,,,,,71923.6,0.002351337,250.7,11234.59556,140.5388316,10.9,1.01,0.99,42.522,1,,,1.09,1.17,,,,,22,0.41,0.05,76%,77%,79,165,61,12,12,4,148,163,7,102,,,,,
Singapore,,,46831680,tCO2-eq,2010,,,,,,,,,,,,,,1.283333,103.833333,Singapore,Southeast Asia,5607300,2015,,,,,,719.9,6095.025352,,,,,,365.928,222.7,43786.86591,158.3691184,,0.9,1.07,100,1,,,1.16,1.58,,715,10,2.50%,55,0.34,0.03,53%,60%,21,10,15,56,25,89,19,75,30,88,,,,,
Hong Kong,,2017,44876460,tCO2-eq,2014,CO2; CH4; N2O; HFCs; PFCs; SF6,Increased,,44900000,40633441.49,41646498.51,41139970,40656981.49,41670038.51,41163510,,,"(22.2880809, 114.1398015)",22.3,114.2,China,East Asia,7310000,2016,,,,,,1104,6392.588768,129,23.3,3.10E+11,USD     US Dollar,,416.047,224.5,,68.54388843,,1.01,0.99,100,1,,41.33,1.56,2.06,2.8,,,,44,0.36,,57%,68%,19,108,13,22,31,37,73,139,11,89,0,1,0,0.015723328,0.02065485
Kaohsiung,,2016,43502687.67,tCO2-eq,2014,CO2; CH4; N2O; HFCs; PFCs; SF6,Stayed the same,15253076.46,58755764.13,42341483.8,42497347.19,42419415.49,57594560.26,57750423.65,57672491.95,1,,"(22.629705, 120.343804)",22.633,120.266667,Taiwan,East Asia,2778918,2016,,,,,,2951.85,,50,25.1,5.24E+11,USD     US Dollar,,113.647,54,19417.47573,,,,,,,,,0.98,0.98,2.65,,,,20,0.41,0.05,47%,70%,133,166,112,137,96,144,134,82,14,165,0,1,0,0.012921381,0.014924653
