"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"1",NA,NA,1900,"D",NA,NA,NA,NA,NA,NA,NA,56.167,10.25,"Europe",330639,467.85,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.01,2.10362550178588,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517e+09,6.412e+09,0.7,0.0106834006,0.01703133,0.0125594652
"2",193345,421879,615224,"A",138111.799837664,165934.941020844,152023.370429254,559990.799837664,587813.941020844,573902.370429254,NA,40.1,-75.099722,"North America",55557,40.1707449,13.6,NA,NA,NA,NA,NA,NA,27.8,0.97,0.86,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"3",3708292,NA,3708292,"E",1983266.67276584,3298555.81421744,2640911.24349164,1983266.67276584,3298555.81421744,2640911.24349164,NA,9.03,38.74,"Africa",3270000,540,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0043235742,0.0182026271,0.0182026271
"4",63724,422817,486541,"A",41872.9652379316,45693.5509093012,43783.2580736164,464689.965237932,468510.550909301,466600.258073616,NA,-34.929,138.601,"Oceania",22393,15.57,18,36217,56,46242.774566474,NA,NA,NA,33.23,1.28,1.23,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.161e+10,6.264e+10,0.5,0.0277933709,0.039682077,0.0336826837
"5",NA,NA,225,"D",NA,NA,NA,NA,NA,NA,NA,54.883,10.333333,"Europe",6383,88,10,NA,NA,NA,NA,NA,NA,NA,1.8,2.01,1.79083260806498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517e+09,6.412e+09,0.7,0.0106834006,0.01703133,0.0125594652
"6",3839803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8897,-102.295,"Latin America & Caribbean",934424,385,NA,NA,NA,NA,NA,NA,NA,NA,1.02,1.03,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",13855311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.03,72.58,"South Asia",5633927,464.165,NA,NA,12,1954.39739413681,NA,NA,29.235,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",6354,NA,538836,"C",NA,NA,NA,NA,NA,NA,NA,43.858,-79.036389,"North America",109600,67.07,7.8,NA,NA,NA,NA,NA,NA,34.9,1.16,1.17,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.796e+10,1.515e+11,0.51,0.046860437,0.1017275144,0.0734936045
"9",663997,553094,1217091,"A",566276.876422246,615502.356509414,590889.616465831,1119370.87642225,1168596.35650941,1143983.61646583,NA,42.653,-73.757222,"North America",98111,55.3998861,9,66342,52,59633.0275229358,NA,NA,NA,19.1,0.97,0.86,2.19,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"10",138542,262537,401079,"A",111997.908632886,125369.214288104,118683.561460495,374534.908632886,387906.214288104,381220.561460495,NA,38.901,-90.159722,"North America",26861,40.0671453,13.7,NA,NA,NA,NA,NA,NA,22.7,0.97,0.86,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"11",3322603,3892804,7215407,"A",2267715.93896607,2744820.62596431,2506268.28246519,6160519.93896607,6637624.62596431,6399072.28246519,NA,31.95,35.932778,"North Africa, Middle East, West Asia",4007526,1680,17,NA,NA,NA,NA,NA,NA,50.29,0.82,1.27,5.2,NA,171,156,170,174,154,180,66,92,167,169,36.7,175,0,1,0,0.0057248771,0.0104522032,0.0104522032
"12",2161000,2310000,4471000,"C",NA,NA,NA,NA,NA,NA,NA,52.367,4.9,"Europe",810000,219,11.8,45265,120.67123,49676.2166267694,NA,60.06,80.172,37.5,1.8,2.15,1.8,215,32,95,31,34,7,20,56,26,6,1,82.86,10,6.342e+10,8.152e+10,0.78,0.0136552404,0.0287396254,0.0170044476
"13",3293364.54581,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34474582128,41.1166666667,122.983333333,"East Asia",1529850,624,NA,NA,20,13157.8947368,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",917789.196792,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462207237668,36.1,114.333333333,"East Asia",950301,543.5,NA,NA,6,5231.0374891,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
